ID,Site,Year,Day,Hour,Dive Count
HC83,Harrison Cove,2020,2,10,19
HC83,Harrison Cove,2020,2,11,25
HC83,Harrison Cove,2020,2,12,36
HC83,Harrison Cove,2020,2,13,60
HC83,Harrison Cove,2020,2,14,59
HC83,Harrison Cove,2020,2,15,39
HC83,Harrison Cove,2020,2,16,40
HC83,Harrison Cove,2020,3,5,19
HC83,Harrison Cove,2020,3,6,43
HC83,Harrison Cove,2020,3,7,47
HC83,Harrison Cove,2020,3,8,18
HC83,Harrison Cove,2020,3,9,24
HC83,Harrison Cove,2020,3,10,19
HC92,Harrison Cove,2020,1,1,5
HC92,Harrison Cove,2020,1,2,33
HC92,Harrison Cove,2020,1,3,36
HC92,Harrison Cove,2020,1,4,10
HC92,Harrison Cove,2020,1,5,23
HC92,Harrison Cove,2020,1,6,38
HC92,Harrison Cove,2020,1,7,65
HC92,Harrison Cove,2020,1,8,63
HC92,Harrison Cove,2020,1,9,76
HC92,Harrison Cove,2020,1,10,80
HC92,Harrison Cove,2020,1,11,60
HC92,Harrison Cove,2020,1,12,70
HC92,Harrison Cove,2020,1,13,68
HC92,Harrison Cove,2020,1,14,60
HC92,Harrison Cove,2020,1,15,53
HC92,Harrison Cove,2020,1,16,54
HC92,Harrison Cove,2020,1,17,31
HC92,Harrison Cove,2020,1,18,16
HC92,Harrison Cove,2020,1,19,2
HC92,Harrison Cove,2020,1,22,3
HC92,Harrison Cove,2020,1,23,16
HC92,Harrison Cove,2020,1,24,2
HC92,Harrison Cove,2020,2,6,1
HC92,Harrison Cove,2020,2,7,31
HC92,Harrison Cove,2020,2,8,51
HC92,Harrison Cove,2020,2,9,55
HC92,Harrison Cove,2020,2,10,51
HC92,Harrison Cove,2020,2,11,41
HC92,Harrison Cove,2020,2,12,42
HC92,Harrison Cove,2020,2,13,32
HC92,Harrison Cove,2020,2,14,34
HC92,Harrison Cove,2020,2,15,46
HC92,Harrison Cove,2020,2,16,55
HC92,Harrison Cove,2020,2,17,39
HC93,Harrison Cove,2020,1,4,33
HC93,Harrison Cove,2020,1,5,45
HC93,Harrison Cove,2020,1,6,61
HC93,Harrison Cove,2020,1,7,93
HC93,Harrison Cove,2020,1,8,84
HC93,Harrison Cove,2020,1,9,85
HC93,Harrison Cove,2020,1,10,51
HC93,Harrison Cove,2020,1,11,64
HC93,Harrison Cove,2020,1,12,59
HC93,Harrison Cove,2020,1,13,82
HC93,Harrison Cove,2020,1,14,81
HC93,Harrison Cove,2020,1,15,2
HC93,Harrison Cove,2020,2,14,14
HC93,Harrison Cove,2020,2,15,52
HC93,Harrison Cove,2020,2,16,54
HC93,Harrison Cove,2020,2,17,68
HC93,Harrison Cove,2020,2,18,34
HC93,Harrison Cove,2020,3,5,13
HC93,Harrison Cove,2020,3,6,44
HC93,Harrison Cove,2020,3,7,18
MO06,Moraine,2020,1,5,10
MO06,Moraine,2020,1,6,30
MO06,Moraine,2020,1,7,31
MO06,Moraine,2020,1,8,27
MO06,Moraine,2020,1,9,20
MO06,Moraine,2020,1,10,23
MO06,Moraine,2020,1,11,24
MO06,Moraine,2020,1,12,23
MO06,Moraine,2020,1,13,20
MO06,Moraine,2020,1,14,21
MO06,Moraine,2020,1,15,20
MO06,Moraine,2020,1,16,20
MO06,Moraine,2020,1,17,30
MO06,Moraine,2020,1,18,68
MO06,Moraine,2020,1,19,68
MO06,Moraine,2020,1,20,40
MO06,Moraine,2020,2,5,12
MO06,Moraine,2020,2,6,64
MO06,Moraine,2020,2,7,33
MO06,Moraine,2020,2,8,51
MO06,Moraine,2020,2,9,62
MO06,Moraine,2020,2,10,51
MO06,Moraine,2020,2,11,44
MO06,Moraine,2020,2,12,39
MO06,Moraine,2020,2,13,61
MO06,Moraine,2020,2,14,39
MO06,Moraine,2020,2,15,42
MO06,Moraine,2020,2,16,41
MO06,Moraine,2020,2,17,41
MO06,Moraine,2020,2,18,18
MO06,Moraine,2020,3,5,24
MO06,Moraine,2020,3,6,34
MO06,Moraine,2020,3,7,20
MO06,Moraine,2020,3,8,34
MO06,Moraine,2020,3,9,25
MO06,Moraine,2020,3,10,12
MO10,Moraine,2020,1,2,10
MO10,Moraine,2020,1,5,4
MO10,Moraine,2020,1,6,25
MO10,Moraine,2020,1,7,23
MO10,Moraine,2020,1,8,18
MO10,Moraine,2020,1,9,17
MO10,Moraine,2020,1,10,22
